date,url,text

3/1/17,SSOsvaldo Abreuassigned to Washington Nationals.
3/1/17,CFVictor Roblesassigned to Washington Nationals.
3/1/17,Washington Nationals signed free agent LHPJohn Lannanto a minor league contract.
3/2/17,Washington Nationals designated CSpencer Kieboomfor assignment.
3/2/17,Washington Nationals signed free agent RHPJoe Blanton.
3/3/17,CFBlake Perkinsassigned to Washington Nationals.
3/3/17,CJeyner Baezassigned to Washington Nationals.
3/3/17,2BIan Sagdalassigned to Washington Nationals.
3/3/17,3BKelvin Gutierrezassigned to Washington Nationals.
3/3/17,CJake Loweryassigned to Washington Nationals.
3/3/17,RFJuan Sotoassigned to Washington Nationals.
3/3/17,CJakson Reetzassigned to Washington Nationals.
3/3/17,2BAdrian Sanchezassigned to Washington Nationals.
3/3/17,LFTelmito Agustinassigned to Washington Nationals.
3/6/17,Washington Nationals sentSpencer Kieboomoutright to Syracuse Chiefs.
3/7/17,Washington Nationals signed free agent 2BAlian Silvato a minor league contract.
3/8/17,CSpencer Kieboomassigned to Washington Nationals.
3/8/17,RHPRyan Brinleyassigned to Washington Nationals.
3/8/17,RHPJake Johansenassigned to Washington Nationals.
3/8/17,LFRhett Wisemanassigned to Washington Nationals.
3/11/17,2BBryan Mejiaassigned to Washington Nationals.
3/11/17,LHPMatthew Crownoverassigned to Washington Nationals.
3/12/17,Washington Nationals signed free agent RHPJohan Gomezto a minor league contract.
3/12/17,Washington Nationals signed free agent RHPAlejandro Vallejoto a minor league contract.
3/13/17,Washington Nationals optionedRaudy Readto Harrisburg Senators.
3/13/17,Washington Nationals optionedMatt Skoleto Syracuse Chiefs.
3/13/17,Washington Nationals optionedAustin Vothto Syracuse Chiefs.
3/13/17,Washington Nationals optionedJimmy Corderoto Syracuse Chiefs.
3/15/17,Washington Nationals released CDerek Norris.
3/16/17,RHPPhillips Valdezassigned to Washington Nationals.
3/16/17,RHPGreg Rossassigned to Washington Nationals.
3/17/17,LHPJosh Outmanassigned to Washington Nationals.
3/17/17,SSStephen Perezassigned to Washington Nationals.
3/17/17,3BIrving Faluassigned to Washington Nationals.
3/17/17,LFIsaac Ballouassigned to Washington Nationals.
3/17/17,RFCaleb Ramseyassigned to Washington Nationals.
3/17/17,Washington Nationals optioned RHPAustin Adamsto Syracuse Chiefs.
3/17/17,Washington Nationals optioned CFRafael Bautistato Syracuse Chiefs.
3/18/17,3BMario Lissonassigned to Washington Nationals.
3/19/17,RHPKyle Schepelassigned to Washington Nationals.
3/19/17,RHPGilberto Mendezassigned to Washington Nationals.
3/19/17,RHPGabriel Ariasassigned to Washington Nationals.
3/19/17,LFJoey Butlerassigned to Washington Nationals.
3/19/17,LFZach Collierassigned to Washington Nationals.
3/20/17,RHPWhit Mayberryassigned to Washington Nationals.
3/20/17,RHPRonald Penaassigned to Washington Nationals.
3/20/17,CFDale Careyassigned to Washington Nationals.
3/21/17,RHPJorge Pantojaassigned to Washington Nationals.
3/21/17,RHPDakota Bacusassigned to Washington Nationals.
3/22/17,LHPR.C. Orlanassigned to Washington Nationals.
3/22/17,CBrian Jerolomanassigned to Washington Nationals.
3/24/17,RHPMick VanVossenassigned to Washington Nationals.
3/25/17,Washington Nationals optioned LHPMatt Graceto Syracuse Chiefs.
3/25/17,Washington Nationals optioned RHPRafael Martinto Syracuse Chiefs.
3/25/17,Washington Nationals optioned CPedro Severinoto Syracuse Chiefs.
3/25/17,Washington Nationals optioned RFBrian Goodwinto Syracuse Chiefs.
3/27/17,RHPMariano Riveraassigned to Washington Nationals.
3/28/17,IFKhayyan Norforkassigned to Washington Nationals.
3/29/17,CNick Ricklesassigned to Washington Nationals.
3/29/17,RHPDerek Selfassigned to Washington Nationals.
3/29/17,RHPMark Blackmarassigned to Washington Nationals.
3/29/17,Washington Nationals optionedA.J. Coleto Syracuse Chiefs.
3/29/17,Washington Nationals optionedTrevor Gottto Syracuse Chiefs.
3/31/17,Washington Nationals sentClint Robinsonoutright to Syracuse Chiefs.
