Washington Capitals,Tweet Text,URL
Washington Capitals,#RockTheRed #Capitals Prediction recap: Old streaks die hard #WashingtonCapitals #GoCaps #Caps https://t.co/dPlTYGoG9F,http://dld.bz/f42h7
Washington Capitals,Up/Down: Paul Carey (F) | Washington Capitals -&gt; Hershey Bears | https://t.co/1ktEb8WEZU #AHL,http://eliteprospects.com/t.php?id=299927
Washington Capitals,Capitals Fan Hit by Puck Karl Alzner’s Former Babysitter https://t.co/dL6xF8QZWQ https://t.co/FxyBvZF896,http://washington-informer.com/39414/capitals-fan-hit-by-puck-karl-alzners-former-babysitter/
Washington Capitals,"RT @ChrisLingebach: On Saturday, Karl Alzner saw his child's former babysitter get hit by a puck at Verizon Center. https://t.co/mnzBrqz3cD",http://cbsloc.al/2mxiXwN
Washington Capitals,"RT @JJReganCSN: Bad news for Paul Carey, good news for Andre Burakovsky #Caps https://t.co/VoYGzyJPu9",http://www.csnmidatlantic.com/washington-capitals/paul-carey-reassigned-hershey-and-what-means-andre-burakovsky
Washington Capitals,"RT @JJReganCSN: Bad news for Paul Carey, good news for Andre Burakovsky #Caps https://t.co/VoYGzyJPu9",http://www.csnmidatlantic.com/washington-capitals/paul-carey-reassigned-hershey-and-what-means-andre-burakovsky
Washington Capitals,"Bad news for Paul Carey, good news for Andre Burakovsky #Caps https://t.co/VoYGzyJPu9",http://www.csnmidatlantic.com/washington-capitals/paul-carey-reassigned-hershey-and-what-means-andre-burakovsky
Washington Capitals,"A #Caps fan took a puck to the head on Saturday. Turns out, that fan used to babysit Karl Alzner's kid. https://t.co/GtaY7uDO65",http://cbsloc.al/2mxiXwN
Washington Capitals,"RT @DallasStars: The #Stars defeat the Capitals 4-2, ending Washington's franchise-record home winning streak at 15 games. https://t.co/I3A…",
Washington Capitals,"On Saturday, Karl Alzner saw his child's former babysitter get hit by a puck at Verizon Center. https://t.co/mnzBrqz3cD",http://cbsloc.al/2mxiXwN
Washington Capitals,Washington’s record home win streak ends against Dallas https://t.co/XBNifRCcdp,http://bit.ly/2n20Z3m
Washington Capitals,"RT @DallasStars: The #Stars defeat the Capitals 4-2, ending Washington's franchise-record home winning streak at 15 games. https://t.co/I3A…",
Washington Capitals,Capitals double up by the Stars: The Washington Capitals saw their three-game winning streak come to an end on…… https://t.co/KX7PDoMymY,https://twitter.com/i/web/status/839155447596646400
Washington Capitals,Alex Ovechkin hasn't scored an even-strength goal in 15 games - Washington Post https://t.co/MkqZvjnMAn,https://goo.gl/fb/sd6tVn
Washington Capitals,"Special teams weren't a factor Monday, but they should have been for the #Caps https://t.co/GvJE4zWcX9 https://t.co/O9haiwnvDX",http://bit.ly/2n1wdrx
Washington Capitals,"RT @DallasStars: The #Stars defeat the Capitals 4-2, ending Washington's franchise-record home winning streak at 15 games. https://t.co/I3A…",
Washington Capitals,"The Washington-based fund will invest in ""inclusive fintech"" startups that improve the accessibility and quality of…https://t.co/AOfgj9S7gx",https://lnkd.in/eC8ZmvF
Washington Capitals,#Capitals Wire: [TSN] - Ibrahimovic handed three-match ban - Article - TSN https://t.co/2i3H1zhrY1 #NHL https://t.co/nkMgsBRmJj,http://sportspyder.com/teams/washington-capitals/articles/20844750?utm_source=dlvr.it&utm_medium=twitter
Washington Capitals,Alex Ovechkin hasn't scored an even-strength goal in 15 games - Washington Post https://t.co/7N6Es6TSsD,http://dlvr.it/NYvGxD
Washington Capitals,"RT @NoahFrankWTOP: The #Caps have admitted they're all in this year, but they've also made moves, improvements to back up the bluster https…",
Washington Capitals,Une rare défaite pour les Capitals à Washington https://t.co/dUlvtlOOwn #sport,http://ift.tt/2mBsIur
Washington Capitals,Kari Lehtonen's 42 saves key to Dallas Stars' win at Washington Capitals #nhl https://t.co/Zh4MNFZH9b https://t.co/Qs676BqC8Z,http://wordlink.com/l/40JfP
